available,neontheme,category,highertaxon,lowertaxon,sampletype,collid,institutioncode,collectioncode,fullname,neonsampleclass,description,dwcaurl,gbif,neondataproduct
TRUE,"Organisms, Populations, and Communities",Algae,"Aquatic plants, bryophytes, lichens, and macroalgae",,"Fluid-Preserved Sample",50,NEON,AMAC-CPCH,"Aquatic Macroalgae Collection (Chemical Preservation [Clip Harvests])",apl_domainLab_in.sampleIDmacroalgae,"Aquatic macroalgae voucher collected as part of the NEON clip harvest protocol conducted annually at wadeable streams and 3 times at rives and lakes. Archived in 2% glutaraldehyde.",https://biorepo.neonscience.org/portal/content/dwca/NEON-AMAC-CPCH_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.20066.001
TRUE,"Organisms, Populations, and Communities",Algae,"Aquatic plants, bryophytes, lichens, and macroalgae",,"Fluid-Preserved Sample",73,NEON,AMAC-CPPC,"Aquatic Macroalgae Collection (Chemical Preservation [Point Counts])",apc_perTaxon_in.sampleIDmacroalgae,"Aquatic macroalgae voucher collected three times annually as part of the NEON point count protocol conducted at wadeable streams. Archived in 2% glutaraldehyde.",https://biorepo.neonscience.org/portal/content/dwca/NEON-AMAC-CPPC_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.20072.001
TRUE,"Organisms, Populations, and Communities",Algae,"Periphyton, seston, and phytoplankton",,"Fluid-Preserved Sample",47,NEON,AMIC-CP,"Aquatic Microalgae Collection (Chemical Preservation)",ptx_taxonomy_in.preserved,"Unsorted bulk microalgae sample collected as part of the NEON periphyton, seston, and phytoplankton collection protocols conducted three times annually. Archived in 2% high-iodine Lugol's solution (seston and phytoplankton) or 0.5% glutaraldehyde (epipsammon, epipelon, epiphyton, epilithon, epixylon).",https://biorepo.neonscience.org/portal/content/dwca/NEON-AMIC-CP_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.20166.001
TRUE,"Organisms, Populations, and Communities",Algae,"Periphyton, seston, and phytoplankton",,"Dry Sample",46,NEON,AMIC-FD,"Aquatic Microalgae Collection (Freeze-dried)",ptx_taxonomy_in.freezeDried,"Freeze-dried unsorted bulk microalgae sample collected as part of the NEON periphyton, seston, and phytoplankton collection protocols conducted three times annually.",https://biorepo.neonscience.org/portal/content/dwca/NEON-AMIC-FD_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.20166.001
TRUE,"Organisms, Populations, and Communities",Algae,"Periphyton, seston, and phytoplankton",,"Dry Sample",49,NEON,AMIC-MS,"Aquatic Microalgae Collection (Microscope Slides)",ptx_taxonomy_in.slideID,"Unsorted bulk microalgae sample collected as part of the NEON periphyton, seston, and phytoplankton collection protocols conducted three times annually. Archived on microscope slides.",https://biorepo.neonscience.org/portal/content/dwca/NEON-AMIC-MS_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.20166.001
TRUE,"Atmosphere, Land Cover & Processes",Environmental,Environmental,,"Environmental Sample",41,NEON,PMFC,"Particulate Mass Filter Collection",dpm_fieldData_in.sampleID,"Particulate collection filter (Whatman 1851-8531 quartz microfiber filters) typically deployed for two weeks in a HiVol 3000 collector and archived at 4 degrees Celsius.",https://biorepo.neonscience.org/portal/content/dwca/NEON-PMFC_DwC-A.zip,"not published",https://data.neonscience.org/data-product-view?dpCode=DP1.00101.001
TRUE,"Biogeochemistry, Land Cover & Processes",Environmental,Environmental,,"Environmental Sample",30,NEON,SOIC-DP,"Soil Collection (Distributed Periodic)",sls_bgcSubsampling_in.bgcArchiveID,"Dry soil coring sample conducted to a maximum depth of 30 ± 1 cm and collected every 5 years.",https://biorepo.neonscience.org/portal/content/dwca/NEON-SOIC-DP_DwC-A.zip,"not published","https://data.neonscience.org/data-products/DP1.10078.001, https://data.neonscience.org/data-products/DP1.10100.001, https://data.neonscience.org/data-products/DP1.10086.001"
TRUE,Atmosphere,Environmental,Environmental,,"Environmental Sample",42,NEON,WDC,"Wet Deposition Collection",wdp_collection_in.chemSubsampleID,"Wet deposition sample automatically collected with an optical precipitation sensor every two weeks and archived at 4 degrees Celsius.",https://biorepo.neonscience.org/portal/content/dwca/NEON-WDC_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.00013.001
FALSE,"Organisms, Populations, and Communities",Invertebrates,"Aquatic Invertebrates","Benthic Macroinvertebrates","Fluid-Preserved Sample",22,NEON,BMIC-CH,"Benthic Macroinvertebrate Collection (Chironomids)",inv_persample_in.chironomidVialID,"Sorted chironomids collected as part of the NEON benthic macroinvertebrate sampling protocols conducted 3 times annually. Archived in 70-95% ethanol.",https://biorepo.neonscience.org/portal/content/dwca/NEON-BMIC-CH_DwC-A.zip,"not published","https://data.neonscience.org/data-products/DP1.20120.001, https://data.neonscience.org/data-products/DP1.20120.001"
FALSE,"Organisms, Populations, and Communities",Invertebrates,"Aquatic Invertebrates","Benthic Macroinvertebrates","DNA Sample",61,NEON,BMIC-DNA,"Benthic Macroinvertebrate Collection (DNA Extracts)",inv_dnaExtraction_in.dnaSampleID,"Genomic extract from homogenized bulk macroinvertebrates collected as part of the second of three annual NEON benthic macroinvertebrate sampling events. Used for metabarcoding and archived at -80 degrees C .",NULL,"not published",https://data.neonscience.org/data-products/DP1.20126.001
FALSE,"Organisms, Populations, and Communities",Invertebrates,"Aquatic Invertebrates","Benthic Macroinvertebrates","Slide-Mounted Sample",53,NEON,BMIC-MS,"Benthic Macroinvertebrate Collection (Microscope Slides)",inv_pertaxon_in.slideID,"Slide-mounted invertebrate specimens collected as part of the NEON benthic macroinvertebrate sampling protocols conducted 3 times annually.",NULL,"not published","https://data.neonscience.org/data-products/DP1.20120.001, https://data.neonscience.org/data-products/DP1.20120.001"
FALSE,"Organisms, Populations, and Communities",Invertebrates,"Aquatic Invertebrates","Benthic Macroinvertebrates","Fluid-Preserved Sample",52,NEON,BMIC-OL,"Benthic Macroinvertebrate Collection (Oligochaetes)",inv_persample_in.oligochaeteVialID,"Sorted oligochaetes collected as part of the NEON benthic macroinvertebrate sampling protocols conducted 3 times annually. Archived in 70-95% ethanol.",NULL,"not published","https://data.neonscience.org/data-products/DP1.20120.001, https://data.neonscience.org/data-products/DP1.20120.001"
FALSE,"Organisms, Populations, and Communities",Invertebrates,"Aquatic Invertebrates","Benthic Macroinvertebrates","Fluid-Preserved Sample",48,NEON,BMIC-TR,"Benthic Macroinvertebrate Collection (Taxonomy Reference Collection)",inv_pervial_in.referenceID,"Taxonomic reference specimen used for identification of species in NEON benthic macroinvertebrates samples. Archived in 70-95% ethanol.",NULL,"not published",https://data.neonscience.org/data-products/DP1.20120.001
FALSE,"Organisms, Populations, and Communities",Invertebrates,"Aquatic Invertebrates","Benthic Macroinvertebrates","Fluid-Preserved Sample",57,NEON,BMIC-TS,"Benthic Macroinvertebrate Collection (Taxonomy Subsample)",inv_fielddata_in.sampleID,"Subsample of bulk macroinvertebrates collected as part of the NEON benthic macroinvertebrate sampling protocol conducted three times annually. Each subsample contains at least 300 identified specimens and is archived in 95% ethanol.",https://biorepo.neonscience.org/portal/content/dwca/NEON-BMIC-TS_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.20120.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Aquatic Invertebrates","Benthic Macroinvertebrates","Fluid-Preserved Sample",21,NEON,BMIC-UB,"Benthic Macroinvertebrate Collection (Unsorted Bulk Sample)",inv_fielddata_in.geneticSampleID,"Bulk unsorted macroinvertebrates collected as part of the first and third three annual NEON benthic macroinvertebrate sampling events. Oligochaetes and chironomids have been removed. Archived in 70-95% ethanol.",NULL,"not published",https://data.neonscience.org/data-products/DP1.20120.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates",Carabids,"Fluid-Preserved Sample",11,NEON,CARC-AP,"Carabid Collection (Archive Pooling)",bet_archivepooling_in.subsampleID.bet,"Carabid vouchers collected in a pitfall trap trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol. Archived in 95% ethanol and pooled across traps from the same plot and sampling dates.",https://biorepo.neonscience.org/portal/content/dwca/NEON-CARC-AP_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.10022.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates",Carabids,"DNA Sample",63,NEON,CARC-DNA,"Carabid Collection (DNA Extracts)",bet_expertTaxonomistID_in.geneticSampleID,"Genomic extract from the leg of a pinned carabid voucher collected in a pitfall trap trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol. Used for barcoding and archived at -80 degrees C.",NULL,"not published",https://data.neonscience.org/data-products/DP1.10020.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates",Carabids,"Dry Sample",39,NEON,CARC-PV,"Carabid Collection (Pinned Vouchers)",bet_IDandpinning_in.individualID,"Pinned Carabid voucher collected in a pitfall trap trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol.",https://biorepo.neonscience.org/portal/content/dwca/NEON-CARC-PV_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.10022.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates",Carabids,"Fluid-Preserved Sample",14,NEON,CARC-TS,"Carabid Collection (Trap Sorting)",bet_sorting_in.subsampleID.bet,"Carabid vouchers collected in a pitfall trap trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol. Archived in 95% ethanol and not pooled across traps.",https://biorepo.neonscience.org/portal/content/dwca/NEON-CARC-TS_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.10022.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates","Other Invertebrates","Fluid-Preserved Sample",13,NEON,IVBC-AP,"Invertebrate Bycatch Collection (Archive Pooling)",bet_archivepooling_in.subsampleID.ib,"Bulk unsorted invertebrate bycatch collected in a pitfall trap trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol Carabids and vertebrates have been removed. Remaining samples are archived in 95% ethanol and pooled across traps from the same plot and sampling dates.",https://biorepo.neonscience.org/portal/content/dwca/NEON-IVBC-AP_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.10022.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates","Other Invertebrates","Fluid-Preserved Sample",16,NEON,IVBC-TS,"Invertebrate Bycatch Collection (Trap Sorting)",bet_sorting_in.subsampleid.ib,"Bulk unsorted invertebrate collected as bycatch in a pitfall trap trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol. Carabids and vertebrates have been removed. Remaining samples are archived in 95% ethanol and not pooled across traps.",https://biorepo.neonscience.org/portal/content/dwca/NEON-IVBC-TS_DwC-A.zip,published,https://data.neonscience.org/data-product-view?dpCode=DP1.10022.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates",Mosquitoes,"Frozen Sample",56,NEON,MOSC-BI,"Mosquito Collection (Bulk Identified)",mos_archivepooling_in.archiveVialIDList,"Single-species bulk mosquito sample collected as part of the NEON CO2 mosquito trapping protocol conducted every 2-4 weeks for 2 nights. Archived in liquid nitrogen.",NULL,"not published",https://data.neonscience.org/data-products/DP1.10043.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates",Mosquitoes,"Frozen Sample",58,NEON,MOSC-BU,"Mosquito Collection (Bulk Unidentified)",mos_trapping_in.sampleID,"Bulk unsorted mosquito sample collected as part of the NEON CO2 mosquito trapping protocol conducted every 2-4 weeks for 2 nights. Archived in liquid nitrogen.",NULL,"not published",https://data.neonscience.org/data-products/DP1.10043.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates",Mosquitoes,"DNA Sample",59,NEON,MOSC-PE,"Mosquito Collection (DNA Extracts [Pathogen Extracts])",mos_pathogenpooling_in.testingVialID,"Genomic extract from the leg of a pinned mosquito voucher collected as part of the NEON CO2 mosquito trapping protocol conducted every 2-4 weeks for 2 nights. Used for barcoding and archived at -80 degrees C.",NULL,"not published",https://data.neonscience.org/data-products/DP1.10041.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates",Mosquitoes,"DNA Sample",65,NEON,MOSC-DNA,"Mosquito Collection (DNA Extracts)",mos_barcoding_in.geneticSampleID,"Aqueous whole genomic DNA from 10-50 homogenized conspecific female mosquitoes collected as part of the NEON CO2 mosquito trapping protocol conducted every 2-4 weeks for 2 nights. Used for pathogen testing and archived at -80 degrees C.",NULL,"not published",https://data.neonscience.org/data-products/DP1.10038.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates",Mosquitoes,"Dry Sample",29,NEON,MOSC-PV,"Mosquito Collection (Pinned Vouchers)",mos_identification_in.individualIDList,"Pinned mosquito voucher collected as part of the NEON CO2 mosquito trapping protocol conducted every 2-4 weeks for 2 nights conducted every 2-4 weeks for 2 nights.",https://biorepo.neonscience.org/portal/content/dwca/NEON-MOSC-PV_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.10043.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates","Other Invertebrates","Dry Sample",4,ASU,NEON-IV,"NEON Biorepository Invertebrate Collections at Arizona State University",,"Pinned invertebrate reference collection specimens for NEON invertebrate bycatch samples for the development of site-level invertebrate species checklists.",NULL,"not published",https://biorepo.neonscience.org/
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Terrestrial Invertebrates",Ticks,"DNA Sample",75,NEON,TICC-PE,"Tick Collection (DNA Extracts [Pathogen Extracts])",tck_pathogenresults_in.testingID,"Aqueous whole genomic DNA from a single tick nymph collected as part of the NEON tick sampling protocol. Used for pathogen testing and archived at -80 degrees C.",NULL,published,https://data.neonscience.org/data-products/DP1.10092.001
TRUE,"Organisms, Populations, and Communities",Invertebrates,"Aquatic Invertebrates",Zooplankton,"DNA Sample",62,NEON,ZOOC-DNA,"Zooplankton Collection (DNA Extracts)",zoo_dnaExtraction_in.dnaSampleID,"Genomic extract from homogenized bulk zooplankton samples collected as part of the NEON zooplankton sampling protocol conducted 3 times annually at lakes. Used for metabarcoding and archived at -80 degrees C .",NULL,"not published",https://data.neonscience.org/data-products/DP1.20221.001
